year,month,open,high,low,close,volume
2017,December,"$10,198.60","$20,089.00","$9,694.65","$14,156.40","410,336,500,000"
2017,November,"$6,440.97","$11,517.40","$5,519.01","$10,233.60","140,735,010,000"
2017,October,"$4,341.05","$6,470.43","$4,164.05","$6,468.40","58,009,358,000"
2017,September,"$4,701.76","$4,975.04","$2,946.62","$4,338.71","55,700,949,000"
2017,August,"$2,871.30","$4,736.05","$2,668.59","$4,703.39","63,548,017,000"
2017,July,"$2,492.60","$2,916.14","$1,843.03","$2,875.34","32,619,957,000"
2017,June,"$2,288.33","$2,999.91","$2,212.96","$2,480.84","44,478,141,000"
2017,May,"$1,348.30","$2,763.71","$1,348.30","$2,286.41","34,261,857,000"
2017,April,"$1,071.71","$1,347.91","$1,061.09","$1,347.89","9,757,448,000"
2017,March,"$1,180.04","$1,280.31",$903.71,"$1,071.79","10,872,456,000"
2017,February,$970.94,"$1,200.39",$946.69,"$1,179.97","4,282,761,200"
2017,January,$963.66,"$1,191.10",$755.76,$970.40,"5,143,971,700"
2016,December,$746.05,$979.40,$746.05,$963.74,"3,556,763,800"
2016,November,$701.34,$756.24,$678.16,$745.69,"2,635,773,100"
2016,October,$609.93,$720.40,$609.48,$700.97,"2,115,443,800"
2016,September,$575.55,$628.82,$570.81,$609.74,"2,004,401,400"
2016,August,$624.60,$626.12,$531.33,$575.47,"2,686,220,200"
2016,July,$672.52,$704.97,$611.83,$624.68,"3,454,186,200"
2016,June,$531.11,$777.99,$525.64,$673.34,"4,749,702,800"
2016,May,$448.48,$553.96,$437.39,$531.39,"2,234,432,800"
2016,April,$416.76,$467.97,$415.83,$448.32,"1,811,475,200"
2016,March,$437.92,$439.65,$394.04,$416.73,"2,332,852,800"
2016,February,$369.35,$448.05,$367.96,$437.70,"1,876,238,700"
2016,January,$430.72,$462.93,$354.91,$368.77,"1,990,880,300"
2015,December,$377.41,$469.10,$349.47,$430.57,"2,096,250,000"
2015,November,$315.01,$495.56,$301.00,$377.32,"2,177,623,400"
2015,October,$236.00,$334.17,$235.62,$314.17,"953,279,500"
2015,September,$230.26,$259.18,$225.12,$236.06,"603,623,900"
2015,August,$284.69,$285.71,$199.57,$230.06,"905,192,300"
2015,July,$263.35,$314.39,$253.51,$284.65,"999,892,200"
2015,June,$230.23,$267.87,$221.30,$263.07,"629,780,200"
2015,May,$235.94,$247.80,$228.57,$230.19,"568,122,600"
2015,April,$244.22,$261.80,$214.87,$236.15,"672,338,700"
2015,March,$254.28,$300.04,$236.52,$244.22,"959,098,300"
2015,February,$216.87,$265.61,$212.02,$254.26,"711,518,700"
2015,January,$320.44,$320.44,$171.51,$217.46,"1,098,811,900"
2014,December,$378.25,$384.04,$304.23,$320.19,"553,102,310"
2014,November,$338.65,$457.09,$320.63,$378.05,"659,733,360"
2014,October,$387.43,$411.70,$289.30,$338.32,"902,994,450"
2014,September,$477.79,$493.93,$372.24,$386.94,"696,572,150"
2014,August,$586.20,$598.12,$443.85,$477.76,"694,524,490"
2014,July,$641.39,$657.86,$564.51,$586.24,"450,725,750"
2014,June,$623.69,$674.11,$549.82,$639.80,"721,873,150"
2014,May,$447.63,$624.72,$423.25,$623.68,"503,299,100"
2014,April,$457.00,$542.38,$351.27,$447.65,"789,304,230"
2014,March,$549.92,$702.91,$443.37,$457.00,"763,979,330"
2014,February,$828.61,$853.52,$420.41,$549.26,"1,269,686,300"
2014,January,$754.97,"$1,017.12",$754.97,$829.92,"1,153,386,500"
2013,December,"$1,128.92","$1,156.12",$420.51,$754.01,"139,984,800"
2013,November,$203.90,"$1,156.14",$201.65,"$1,129.43",—
2013,October,$132.68,$217.42,$102.25,$204.00,—
2013,September,$135.14,$146.50,$118.46,$133.00,—
2013,August,$106.21,$140.89,$101.21,$135.35,—
2013,July,$97.51,$111.34,$65.53,$106.09,—
2013,June,$128.82,$129.78,$88.50,$96.61,—
2013,May,$139.00,$139.89,$79.10,$129.00,—
2013,April,$93.03,$230.00,$68.36,$139.00,—
2013,March,$33.38,$92.19,$33.38,$92.19,—
2013,February,$20.41,$31.10,$19.63,$30.90,—
2013,January,$13.51,$19.70,$13.28,$19.70,—
2012,December,$12.57,$13.70,$12.50,$13.45,—
2012,November,$11.20,$12.48,$10.47,$12.45,—
2012,October,$12.40,$12.89,$10.17,$10.89,—
2012,September,$10.16,$12.57,$9.97,$12.36,—
2012,August,$9.35,$13.50,$8.00,$10.78,—
2012,July,$6.69,$9.11,$6.45,$9.10,—
2012,June,$5.18,$6.68,$5.18,$6.65,—
2012,May,$4.95,$5.15,$4.85,$5.14,—
2012,April,$4.91,$5.35,$4.69,$4.90,—
2012,March,$4.86,$5.38,$4.55,$4.86,—
2012,February,$5.48,$6.10,$4.22,$4.87,—
2012,January,$4.72,$7.11,$4.72,$5.49,—
2011,December,$2.97,$4.25,$2.79,$4.25,—
2011,November,$3.25,$3.25,$2.05,$2.75,—
2011,October,$5.14,$5.14,$2.27,$3.27,—
2011,September,$8.20,$8.64,$4.77,$4.78,—
2011,August,$13.35,$13.35,$6.55,$8.79,—
2011,July,$16.10,$16.10,$12.91,$13.53,—
2011,June,$8.74,$29.60,$8.74,$16.85,—
2011,May,$3.50,$8.80,$3.03,$8.80,—
2011,April,$0.78,$2.88,$0.68,$2.88,—
2011,March,$0.86,$0.94,$0.74,$0.79,—
2011,February,$0.52,$1.09,$0.52,$0.89,—
2011,January,$0.30,$0.48,$0.30,$0.48,—
2010,December,$0.21,$0.30,$0.19,$0.30,—
2010,November,$0.19,$0.39,$0.19,$0.23,—
2010,October,$0.06,$0.20,$0.06,$0.20,—
2010,September,$0.06,$0.06,$0.06,$0.06,—
2010,August,$0.07,$0.07,$0.06,$0.06,—
2010,July,$0.05,$0.09,$0.05,$0.06,—
